ALIMENTO (premi QUI e poi premi CTRL+MAIUSC+T per cercare un alimento);Parte edibile (g);Energia Kcal;Energia KJ;Acqua (g);Prot tot (g);Prot anim;Prot veg;Glucidi tot;Amido;Glucidi solub;Lipidi tot;Saturi tot;Monoins tot;Polins tot;Ac. oleico;Ac. linoleico;Ac. linolenico;altri Polins;Colest;Fibre alim;alcool;Ferro;Ca;Na;K;P;Zn;Vit B1;Vit B2;Vit B3;Vit C;Vit B6;Folico;Retinolo eq;Beta carotene eq;Vit E;Vit D
GRANITA DI LIMONE;100;106;444;73;2;0;2;28,4;0;28,4;0;0;0;0;0;0;0;0;0;0;0;2;1;2;14;1;2;2;2;2;4;0,01;1;2;2;2;0
GRANITO DI TENERO;100;354;1481;14;9,2;0;9,2;82,3;82,3;0;1;0,23;0,11;0,61;0,11;0,58;0,03;0;0;2,5;0;2,2;10;3;126;105;0,6;0,06;0,05;1;0;0,15;22;0;0;0,23;0
GRAPPA;100;235;983;66,4;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;33;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0
GRISSINI;100;433;1812;8,5;12,3;0;12,3;69;66,8;2,2;13,9;4,04;7,82;1,84;7,5;1,57;0,15;0;6;3,5;0;2,3;13;610;120;162;0,7;0,12;0,08;0,9;0;0,12;22;0;0;1,3;0
GRISSINI INTEGRALI;100;443;1854;2,7;8,8;0;8,8;58,1;56,2;1,9;17,2;3,08;9,49;2,7;4,46;2,63;0,06;2;0;10,5;0;3,1;50;659;297;295;2,2;0,2;0,1;4,5;0;0,18;28;0;0;3,92;0
GROVIERA;100;388;1623;32,1;30,6;30;0;1,5;0;1,5;29;17,44;9,31;1,73;8,58;1,3;0,43;0;87;0;0;0,5;1123;332;80;685;2,3;0,01;0,45;0,1;2;0,11;12;316;196;0,51;0
HALIBUT [HIPPOGLOSSUS HIPPOGLOSSUS];78;110;460;77,9;20,8;20;0;0;0;0;2,3;0,33;0,75;0,73;0,36;0,03;0,07;0;32;0;0;0,8;47;54;450;222;0,4;0,06;0,08;5,8;0;0,34;12;47;2;0,85;2
INDIVIA [CHICORIUM ENDIVIA];69;16;67;93;0,9;0;0,9;2,7;0;2,7;0,3;0,07;0,01;0,13;0,01;0,11;0,02;0;0;1,6;0;1,7;93;10;380;31;0,4;0,05;0,3;0,5;35;0,02;156;213;1278;0,57;0
INSALATA DI RISO;100;187;782;65,2;5,9;4;1,7;16,1;15,1;1;11,5;2,75;4,62;3,46;4,41;3,26;0,09;0;34;1,3;0;0,8;79;430;121;100;1,3;0,05;0,09;0,8;2;0,07;10;23;34;2,85;0
IRISH MOSS [CHONDRUS CRISPUS], fresca;100;8;33;81,3;1,5;0;1,5;2;0;2;0,2;0,04;0,02;0,07;0,01;2;2;0;0;12,3;0;8,9;72;67;63;160;1,9;0,01;0,47;0,6;3;0,07;182;12;72;0,87;0
ITALICO (tipo Bel Paese);100;374;1565;38,9;25,4;25;0;0,1;0;0,1;30,2;14,67;8,56;0,57;7,89;0,26;0,31;0;90;0;0;0,6;604;630;111;480;2,5;0,07;0,3;0,3;0;0,09;40;248;186;0,7;0
KAKI O LOTI [DIOSPYROS KAKI];97;65;272;82;0,6;0;0,6;16;0;16;0,3;0,03;0,06;0,07;0,06;0,06;0,01;0;0;2,5;0;0,3;8;4;170;16;0,1;0,02;0,03;0,3;23;0,1;8;237;1422;0,59;0
KIWI [ACTINIDIA DELICIOSA];87;44;184;84,6;1,2;0;1,2;9;2;9;0,6;0,04;0,05;0,33;0,05;0,28;0,05;0;0;2,6;0;0,5;25;5;400;70;0,1;0,02;0,05;0,4;85;0,15;38;6;37;1,12;0
KOMBU [LAMINARIA spp], secca;100;43;180;12,7;7,1;0;7,1;2;0;2;1,6;0,71;0,28;0,13;0,25;0,06;0,01;0;0;58,7;0;12,7;900;1830;450;210;6,2;0,07;0,26;2,1;13;0,01;180;57;340;0,87;0
LAMPONI [RUBUS IDAEUS];100;34;142;84,6;1;0;1;6,5;0;6,5;0,6;0,02;0,06;0,34;0,05;0,23;0,11;0;0;7,4;0;1;49;3;220;52;0,4;0,05;0,02;0,5;25;0,07;39;13;78;0,57;0
LARDO;100;891;3728;1;2;2;0;0;0;0;99;34,12;37,13;28,77;33,63;25,83;2,94;0;95;0;0;0,1;1;2;1;3;2;0;0;0;0;2;2;0;0;1;2
LATTE DI BUFALA;100;102;427;82;4,4;4;0;5,1;0;5,1;7,3;4,86;1,89;0,15;1,66;0,07;0,08;0;19;0;0;0,2;160;52;178;117;0,2;0,04;0,12;0,1;3;0,02;6;31;23;0,09;0
LATTE DI CAPRA;100;72;301;86,3;3,9;3;0;4,7;0;4,7;4,3;2,82;1,16;0,13;1,06;0,1;0,04;0;12;0;0;0,1;141;40;180;106;0,6;0,05;0,11;0,3;1;0,07;1;86;2;0,05;0
LATTE DI MANDORLE;100;25;105;96;0,6;0;0,6;2,4;0,7;1,7;1,5;0,12;1,06;0,29;1,05;0,28;0,01;0;0;0,4;0;0,1;7;2;25;15;0,1;0,01;0,01;0,1;0;2;1;0;0;0,69;0
LATTE DI PECORA;100;103;431;82,7;5,3;5;0;5,2;0;5,2;6,9;4,54;1,7;0,3;1,54;0,18;0,13;0;13;0;0;0,1;180;30;182;96;0,7;0,06;0,25;0,5;5;0,08;5;53;2;0,13;0
LATTE DI SOIA;100;32;134;89,7;2,9;0;2,9;0,8;0;0,8;1,9;0,21;0,33;0,83;0,32;0,73;0,1;0;0;0;0;0,4;13;32;120;47;0,2;0,06;0,27;0,1;0;0,07;19;2;2;0,74;0
LATTE DI VACCA, CONDENSATO, CON ZUCCHERO;100;327;1368;26,5;8,7;8;0;56,5;0;56,5;9;5,59;2,91;0,32;2,46;0,19;0,13;0;34;0;0;0,2;293;130;390;235;1;0,09;0,43;0,2;3;0,07;15;108;62;0,17;4
LATTE DI VACCA, INTERO;100;61;255;87;3,1;3;0;4,8;0;4,8;3,4;2,11;1,1;0,12;0,93;0,07;0,05;0;14;0;0;0,1;119;50;150;93;0,4;0,04;0,18;0,1;1;0,06;6;43;20;0,08;0
LATTE DI VACCA, INTERO UHT;100;61;255;87;3,2;3;0;4,7;0;4,7;3,4;2,11;1,1;0,12;0,93;0,07;0,05;0;14;0;0;0,3;114;47;150;88;0,4;0,05;0,19;0,1;2;0,04;1;40;24;0,06;0
LATTE DI VACCA, INTERO VITAMINIZZATO;100;58;243;88;3,1;3;0;5;0;5;3;1,86;0,97;0,11;0,82;0,06;0,04;0;14;0;0;0;110;50;136;90;0,4;0,1;0,15;1;1;0,06;6;48;36;2;0
LATTE DI VACCA, INTERO, IN POLVERE;100;484;2025;3,2;25,7;25;0;42;0;42;24,9;15,45;8,06;0,88;6,81;0,51;0,37;0;109;0;0;0,7;1050;440;1270;728;3,2;0,24;1,31;0,7;4;0,48;46;318;170;0,61;0
LATTE DI VACCA, PARZIALMENTE SCREMATO;100;49;205;88,5;3,5;3;0;5;0;5;1,8;0,89;0,47;0,08;0,43;0,05;0,03;0;7;0;0;0,1;120;46;170;94;0,5;0,04;0,18;0,1;1;0,06;6;21;10;0,03;0
LATTE DI VACCA, PARZIALMENTE SCREMATO UHT;100;49;205;88,5;3,6;3;0;4,9;0;4,9;1,8;0,89;0,47;0,08;0,43;0,05;0,03;0;7;0;0;0,2;110;42;170;89;0,5;0,04;0,18;0,1;2;0,06;2;21;15;0,03;0
LATTE DI VACCA, PARZIALMENTE SCREMATO VITAMINIZZATO;100;45;188;90;3,1;3;0;5;0;5;1,5;0,74;0,39;0,07;0,36;0,04;0,02;0;6;0;0;0,1;110;46;170;90;0,5;0,1;0,15;1;1;0,06;6;48;36;2;0
LATTE DI VACCA, PARZIALMENTE SCREMATO, IN POLVERE;100;418;1749;4,2;28,8;28;0;50,2;0;50,2;12,7;6,28;3,32;0,56;3,03;0,35;0,21;0;66;0;0;0,7;1124;495;1430;879;3,6;0,32;1,8;0,8;6;0,54;49;164;87;0,31;0
LATTE DI VACCA, SCREMATO;100;36;151;90,5;3,6;3;0;5,3;0;5,3;0,2;0,14;0,05;0,01;0,04;0,01;2;0;2;0;0;0,1;122;52;150;97;0,4;0,04;0,18;0,1;1;0,06;5;2;2;2;2
LATTE DI VACCA, SCREMATO IN POLVERE;100;351;1469;5;33,1;33;0;56,2;0;56,2;0,9;0,63;0,23;0,05;0,18;0,05;2;0;22;0;0;0,9;1323;550;1650;1030;4;0,35;1,8;0,8;6;0,6;51;9;3;0,01;2
LATTE DI VACCA, SCREMATO UHT;100;36;151;90,5;3,7;3;0;5,2;0;5,2;0,2;0,14;0,05;0,01;0,04;0,01;2;0;2;0;0;0,2;112;49;150;92;0,4;0,04;0,18;0,1;2;0,05;1;2;2;2;2
LATTE EVAPORATO;100;151;632;69,1;8,4;8;0;8,5;0;8,5;9,4;5,83;3,04;0,33;2,57;0,19;0,14;0;34;0;0;0,3;290;180;360;260;0,9;0,07;0,42;0,2;1;0,07;11;122;100;0,19;0
LATTERIA;100;450;1883;25,4;30,7;30;0;2;0;2;36,4;22,59;11,78;1,29;9,96;0,75;0,54;0;100;0;0;0,3;1057;670;99;610;2,3;0,03;0,68;0,4;2;0,11;12;327;203;0,58;0
LATTERINI [ATHERINA BOYERI];100;145;607;73,2;14,6;14;0;2;0;2;9,6;2,18;2,56;3,78;1,47;0,13;0;3;60;0;0;0;888;120;360;350;1;2;0,22;6,7;2;0,39;4;113;2;0,29;11
LATTUGA [LACTUCA SATIVA];80;19;79;94,3;1,8;0;1,8;2,2;0;2,2;0,4;0,05;0,01;0,21;0,01;0,06;0,15;0;0;1,5;0;0,8;45;9;240;31;0,2;0,05;0,18;0,7;6;0,05;64;229;1374;0,66;0
LATTUGA A CAPPUCCIO [LACTUCA SATIVA, CV CAPITATA];92;19;79;92,2;1,5;0;1,5;3;0;3;0,2;0,03;0,01;0,11;0,01;0,03;0,08;0;0;1,3;0;1,2;53;7;501;25;0,6;0,08;0,18;0,3;27;0,11;79;237;1422;0,79;0
LATTUGA DA TAGLIO [LACTUCA SATIVA, CV ACEPHALA];83;14;59;95,6;1,1;0;1,1;2,2;0;2,2;0,1;0,01;2;0,05;2;0,02;0,04;0;0;1,9;0;0,9;46;9;264;22;0,3;0,04;0,09;0,4;59;0,06;50;194;1164;0,44;0
LENTICCHIE [LENS ESCULENTA], secche;100;325;1360;11,6;25;0;25;54;51,6;2,4;2,5;0,34;0,42;1,17;0,42;0,91;0,26;0;0;13,7;0;5,1;127;8;980;347;3,3;0,57;0,2;1,8;3;0,93;110;10;60;0,52;0
LENTICCHIE IN SCATOLA;100;61;255;80;5;0;5;10,7;9,6;1,1;0,4;0,05;0,07;0,19;0,07;0,15;0,04;0;0;5,3;0;1,2;19;399;208;77;0,5;0,11;0,04;0,4;2;0,17;18;3;20;0,19;0
LEPRE [LEPUS EUROPAENUS], COSCIO;80;121;506;70;22,8;22;0;0;0;0;3,2;0,95;0,87;0,62;0,74;0,5;0,12;0;81;0;0;6,2;64;213;64;226;3,6;0,09;0,06;6,5;0;0,3;5;0;0;0,13;0
LIEVITO DI BIRRA, COMPRESSO;100;56;234;71;12,1;0;0;1,1;0;1,1;0,4;0,05;0,22;2;0,1;2;0;0;0;6,9;0;4,9;13;16;610;394;2,6;0,71;1,65;11,2;2;0,6;1250;2;2;2;0
LIMETTE [CITRUS AURANTIFOLIA];65;38;159;86;0,7;0;0,7;8,8;0;8,8;0,3;0,03;0,03;0,08;0,02;0,05;0,03;0;0;3,3;0;0;60;3;177;25;0,1;0,06;0,03;0,5;11;0,12;12;40;240;0,29;0
LIMONE [CITRUS LIMONUM];64;11;46;89,5;0,6;0;0,6;2,3;0;2,3;0;0;0;0;0;0;0;0;0;5,2;0;0,1;14;2;140;11;0,1;0,04;0,01;0,3;50;0,08;11;0;0;0,19;0
LIMONE, SCORZA;100;69;289;81,6;1,5;0;1,5;16;0;16;0,3;0,04;0,09;0,09;0,01;0,06;0,03;0;0;4,7;0;0,8;130;6;160;12;0,1;0,06;0,08;0,4;130;0,17;11;5;30;0,19;0
LINO, SEMI;100;373;1561;6,1;24,5;0;24,5;0;0;0;31;3;5,3;21,2;3;4,1;17,1;0;0;34,8;0;8,2;198;60;725;660;7,8;0,17;0,16;1,4;3;3;60;0;0;0,7;0
LIQUIRIZIA DOLCE;100;349;1460;8,4;3,7;0;3,7;76,7;9,4;62,4;5,2;3,6;1,2;0,2;1,2;0,1;0,1;0;0;2;0;7,3;170;57;600;44;0,5;0;0;0;0;0;0;0;0;0;0
LIQUORI DA DESSERT;100;313;1310;40,8;2;0;2;31;0;31;0;0;0;0;0;0;0;0;0;0;28;2;2;6;3;2;2;2;2;2;0;2;2;2;2;0;0
LUCCIO [ESOX LUCIUS];56;80;335;79;18,7;18;0;0;0;0;0,6;0,1;0,14;0,18;0,07;0,03;0,02;0;34;0;0;1,1;20;63;250;220;1,1;0,09;0,07;1,7;4;0,12;15;2;2;0,17;10
LUMACA [HELIX POMATIA];24;98;410;82,8;12,9;12;0;7,8;0;2;1,7;0,13;0,12;0,1;0,03;0,02;0;0;65;0;0;5;57;206;347;141;1,6;0,03;0,11;1,1;0;0,34;6;60;2;0,13;1
LUMACHE DI MARE [BUCCINIDAE spp];24;137;573;66;23,8;23;0;7,8;0;2;0,4;0,03;0,03;0,02;0,01;2;0;0;65;0;0;5;57;206;347;141;1,6;0,03;0,11;1,1;4;0,34;6;26;2;0,13;2
LUPINI [LUPINUS ALBUS] DEAMARIZZATI;76;114;477;69;16,4;0;16,4;7,2;6,7;0,5;2,4;0,28;0,97;0,6;0,88;0,49;0,11;2;0;4,8;0;5,5;45;5;351;100;1,6;0,1;0,01;0,2;2;0,12;123;9;54;3;0
MACEDONIA DI FRUTTA IN SCATOLA;100;57;238;81,8;0,4;0;0,4;14,8;0;14,8;2;0;0;0;0;0;0;0;0;1;0;0,3;5;3;95;9;0,1;0,02;0,01;0,4;4;0,03;5;9;54;2;0
MAGGIORANA [MAJORANA HORTENSIS], secca;100;271;1134;7,6;12,7;0;12,7;42,5;2;42,5;7;1,17;2,61;1,1;2,54;1,02;0,07;0;0;18,1;0;82,7;1990;77;1520;310;3,6;0,29;0,32;4,1;0;0;0;807;4840;9,15;0
MAIONESE;100;655;2741;15,1;4,2;4;0;2,2;0;2,2;70;8,82;23,7;33,35;23,22;33,07;0,24;0;70;0;0;0,5;18;450;16;28;0,5;0,02;0,04;2;2;0,01;4;103;100;18,99;0
MAIS [ZEA MAYS];100;355;1485;12,5;9,2;0;9,2;75,8;73,3;2,5;3,8;0,48;0,87;1,67;0,87;1,42;0,25;0;0;2,9;0;2,4;15;35;287;256;2,2;0,36;0,2;1,5;0;0,62;2;62;372;0,75;0
MAIS DOLCE IN SCATOLA;82;122;510;72,3;2,9;0;2,9;26,6;16,6;9,6;1,2;0,15;0,27;0,53;0,27;0,45;0,08;0;0;3,9;0;0,5;4;270;220;79;0,5;0,04;0,06;1,5;1;0,13;8;18;110;0,46;0
MAIS DOLCE, crudo;100;93;389;76;3,4;0;3,4;17;14,6;2;1,8;0,23;0,41;0,79;0,41;0,67;0,12;0;0;3,3;0;0,7;3;1;260;91;0,4;0,16;0,05;1,9;8;0,15;41;16;97;0,69;0
MANDARANCI e CLEMENTINE;87;53;222;85,3;0,8;0;0,8;12,8;0;12,8;0,2;0,02;0,04;0,04;0,03;0,03;0,01;0;0;2,2;0;0,3;30;2;160;19;0,1;0,08;0,07;0,3;37;0,07;33;25;150;0,24;0
MANDARINI [CITRUS NOBILIS];80;72;301;81,4;0,9;0;0,9;17,6;0;17,6;0,3;0,04;0,06;0,07;0,05;0,05;0,02;0;0;1,7;0;0,3;32;1;210;19;0,1;0,08;0,07;0,3;42;0,1;49;18;108;0,24;0
MANDORLE DOLCI [PRUNUS COMMUNIS];24;542;2268;11,7;16;0;16;4;0;4;51,5;4,27;36,73;10,1;36,38;9,82;0,28;0;0;14,3;0;4,6;236;6;860;508;3,1;0,3;0,44;2,1;2;0,15;48;0;0;23,96;0
MANGO [MANGIFERA INDICA];100;57;238;82,4;0,7;0;0,7;14,1;0,3;13,8;0,2;0,05;0,07;0,04;0,04;0,01;0,03;0;0;2,9;0;0,7;12;2;180;16;0,1;0,04;0,05;0,5;37;0,13;36;300;1800;1,05;0
MARGARINA;100;760;3180;13;0,6;0;0,2;0,4;0;0,4;84;26,41;36,78;17,64;32,05;16,62;1,02;0;50;0;0;2;20;800;5;16;0;0;0;0;0;2;2;75;20;12,3;0
MARGARINA VEGETALE;100;746;3121;16;2;0;2;0,2;0;0,2;82,8;17,1;26,7;35,9;26,3;33,8;2,1;0;0;0;0;0,3;4;680;5;12;2;2;2;2;0;2;2;2;2;32,6;0
MARMELLATA (ALBIC.,FICHI,MELE COT.,PESCHE, PRUGNE];100;209;874;41;0,6;0;0,6;55,2;0;55,2;2;0;0;0;0;0;0;0;0;2,2;0;0,8;10;7;90;11;2;0,02;0,03;0,8;3;2;2;60;359;0;0
MARMELLATA (AMARENE,CILIEGE,UVA,MARASCHE);100;236;987;33;0,6;0;0,6;62,3;0;62,3;2;0;0;0;0;0;0;0;0;2,4;0;2;26;11;83;12;0,1;0,05;0,03;0,9;8;2;2;2;2;0;0
MARMELLATA (NORMALI E TIPO FRUTTA VIVA);100;222;929;36;0,5;0;0,5;58,7;0;58,7;2;0;0;0;0;0;0;0;0;2,2;0;1,4;18;12;100;7;0,2;0,02;0,02;0,9;4;2;2;0;0;0;0
MARMELLATA A RIDOTTO TENORE DI ZUCCHERO;100;123;515;65,3;0,5;0;0,5;31,9;0;31,9;0,1;2;2;2;2;2;2;2;0;0,8;0;0,4;19;20;120;15;2;2;2;2;26;2;2;4;26;0,14;0
MARMELLATA DI ALBICOCCHE;100;242;1013;34,5;0,7;0;0,7;63,2;0;63,2;0,2;0,01;0,11;0;0,02;0;0;0;0;1,2;0;0,5;20;40;77;11;0,1;0;0,02;0,4;9;0,02;33;20;120;0;0
MARMELLATA DI ARANCE;100;261;1092;28;0,1;0;0,1;69,5;0;69,5;0;0;0;0;0;0;0;0;0;0,7;0;0,6;35;18;44;13;0,1;2;2;2;10;2;5;8;50;2;0
MARMELLATA DI PRUGNE;100;134;561;63,4;2,1;0;2,1;31,2;0;31,2;0,6;0,03;0,33;0;0,06;0;0;0;0;2,6;0;1;39;10;344;28;0,1;0,01;0,02;1,8;20;0,02;33;41;246;0;0
MARSALA ALL'UOVO;100;150;628;3;3;3;3;12,4;0;12,4;2;3;3;3;3;3;3;3;3;0;14;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
MARSALA TIPICO;100;205;858;57,7;0,1;0;0,1;28;0;28;0;0;0;0;0;0;0;0;0;0;14;0,4;4;4;97;12;2;2;0,01;0,1;0;0,01;2;2;2;0;0
MASCARPONE;100;453;1895;44,4;7,6;7;0;2;0;2;47;29,17;15,21;1,66;12,86;0,97;0,69;0;95;0;0;0,2;68;86;53;97;0,4;0,01;0,22;0,1;0;0,04;11;353;258;1;0
MELA [PYRUS MALUS];94;45;188;85,6;0,2;0;0,2;11;2;11;0,3;0,07;0,02;0,16;0,02;0,13;0,03;0;0;2;0;0,3;6;2;120;12;0,1;0,02;0,02;0,3;5;0,11;1;8;48;0,59;0
MELA COTOGNA [PYRUS CYDONIA];79;34;142;84,3;0,3;0;0,3;6,3;2;6,3;1;0,1;0,36;0,5;0,36;0,49;0;0;0;5,9;0;0,1;4;3;200;14;0,5;0,02;0,03;0,7;14;0,04;3;0;0;0,55;0
MELA, polpa secca;100;243;1017;31,8;0,9;0;0,9;57,2;0;57,2;0,3;0,05;0,01;0,09;0,01;0,08;0,02;0;0;8,7;0;1,4;14;87;450;38;0,2;0;0,16;0,9;4;0,13;0;0;0;0,55;0
MELAGRANE [PUNICA GRANATUM];59;63;264;80,5;0,5;0;0,5;15,9;0;15,9;0,2;0,03;0,03;0,04;0,03;0,04;0;0;0;2,2;0;0,3;2;7;290;10;0,4;0,09;0,09;0,2;8;0,31;6;2;2;0,55;0
MELANZANE [SOLANUM MELONGEA];92;15;63;92,7;1,1;0;1,1;2,6;0;2,6;0,1;0,02;0,01;0,04;0,01;0,03;0,01;0;0;2,6;0;0,3;14;26;184;33;0,2;0,05;0,05;0,6;11;0,08;18;2;2;0,03;0
MELANZANE SOTT'OLIO;100;49;205;89,1;1,1;0;1,1;2,5;0;2,5;4;0,46;1,31;2;1,29;1,98;0,02;0;0;2,5;0;0,3;13;25;177;32;0,2;0,05;0,05;0,6;11;0,08;17;2;2;1,95;0
MELONE D'ESTATE [CUCUMIS MELO];47;33;138;90,1;0,8;0;0,8;7,4;0;7,4;0,2;0,05;2;0,08;2;0,03;0,04;0;0;0,9;0;0,3;19;8;333;13;0,3;0,05;0,04;0,6;32;0,11;4;189;1134;0,12;0
MELONE D'INVERNO [CUCUMIS MELO, CV INDORUS];51;22;92;94,1;0,5;0;0,5;4,9;0;4,9;0,2;0,05;2;0,08;2;0,03;0,04;0;0;0,7;0;0,3;21;24;159;16;2;0,01;0,02;0,5;12;0,05;2;5;30;0,08;0
MELU' O PESCE MOLO [GADUS POTASSOU];65;72;301;80,5;17,4;17;0;0;0;0;0,3;0,06;0,07;0,12;0,02;2;2;0;50;0;0;1;31;72;356;218;0,4;0,05;0,08;1,7;2;0,18;12;2;2;0,44;2
MENTA [MENTHA SPICATA], fresca;100;43;180;86,4;3,8;0;3,8;5,3;2;5,3;0,7;0,12;0,27;0,11;0,26;0,11;0,01;0;0;5,6;0;9,5;210;15;260;75;0,9;0,12;0,33;1,1;31;0,09;110;123;740;5;0
MENTA, secca;100;279;1167;11,3;24,8;0;24,8;34,6;2;34,6;4,6;0,76;1,75;0,76;1,69;0,7;0,06;0;0;44,7;0;6,2;1370;98;1700;490;3,8;0,12;0,33;1,1;2;0,38;110;805;4830;5;0
MERENDINE AL CIOCCOLATO;100;352;1473;23;6,5;3;2,9;60;26;34;9,5;3,78;3,73;1,44;3,35;1,33;0,1;0;46;2,8;0;2,2;43;157;200;122;0,7;0,03;0,13;0,6;2;0,03;8;28;11;1,41;0
MERENDINE CON MARMELLATA;100;359;1502;19,7;5,5;3;1,7;69,8;23,3;46,5;8,3;2,45;3,25;1,17;2,95;1,06;0,05;0;188;1;0;0,8;11;130;98;55;0,7;0,07;0,17;0,3;0;0,05;13;79;29;0,73;0
MERENDINE FARCITE;100;414;1732;14,2;6,2;4;1,9;67,6;21,9;45,7;15,1;5,51;6,53;2,2;3,4;0,75;0,02;1;152;1;0;1,8;17;350;180;172;0,7;0,09;0,12;0,5;0;0,06;10;311;215;2,83;2
MERENDINE TIPO PAN DI SPAGNA;100;463;1937;13;8,3;4;3,8;60,9;40;20,9;22,3;8,14;9,38;3,25;5,01;1,1;0,03;2;128;2,5;0;1,3;10;350;103;117;0,7;0,09;0,12;0,5;0;0,06;10;280;96;2,83;2
MERINGA;100;379;1586;2,2;5,3;5;0;95,4;0;95,4;2;2;2;2;2;2;2;2;0;0;0;0,1;4;110;90;19;0,2;2;0,24;0,1;0;0,01;6;0;0;0;0
MERLUZZO [MERLUCCIUS MERLUCCIUS];76;71;297;81,5;17;17;0;0;0;0;0,3;0,06;0,07;0,12;0,02;2;2;0;50;0;0;0,7;25;77;320;194;0,4;0,05;0,08;2,2;2;0,18;12;2;2;0,19;2
MERLUZZO SURGELATO;75;75;314;80,8;17,3;17;0;0;0;0;0,6;0,11;0,14;0,24;0,04;2;2;0;39;0;0;0,3;32;77;320;188;0,4;0,03;0,12;1,2;0;0,18;6;0;0;0,44;2
MIELE;100;303;1268;18;0,6;0;0,6;80,3;0;80,3;0;0;0;0;0;0;0;0;0;0;0;0,5;5;11;51;6;0,9;2;0,04;0,3;1;0,02;2;0;0;0;0
MIRTILLO NERO [VACCINIUM MYRTILLUS];98;30;126;85,9;0,6;0;0,6;6,9;0;6,9;0,2;0,02;0,03;0,09;0,03;0,05;0,04;0;0;2,5;0;0,5;12;3;88;14;0,2;0,03;0,03;0,4;17;0,05;6;5;30;1;0
MISO;100;203;849;42,9;13,3;0;13,3;23,5;3;3;6,2;0,89;1,36;3,48;1,35;3,07;0,41;0;0;5,4;0;4,2;73;3650;160;160;3,3;0,08;0,19;1,1;0;0,21;33;9;54;0,01;0
MONTASIO;100;411;1720;32;30,3;30;0;2;0;2;32,2;19,98;10,42;1,14;8,81;0,66;0,47;0;100;0;0;0,3;950;757;99;610;2,3;0,03;0,39;0;2;0,11;12;363;225;0,58;0
MORA DI GELSO [MORUS NIGRA];100;36;151;85;1,3;0;1,3;8,1;0;8,1;2;0;0;0;0;0;0;0;0;1,7;0;1,6;36;2;260;48;0,2;0,05;0,04;0,4;10;0,06;33;2;2;0,55;0
MORA DI ROVO [RUBUS FRUTICOSUS];100;26;109;82;1,3;0;1,3;5,7;0;5,7;2;0;0;0;0;0;0;0;0;7,3;0;0,9;63;4;210;24;0,2;0,03;0,04;0,4;20;0,06;41;17;100;2,84;0
MORTADELLA DI SUINO;100;317;1326;52,3;14,7;14;0;1,5;0;1,5;28,1;9,22;12,75;3,93;11,67;3,46;0,17;0;70;0;0;1,1;19;1054;236;180;1,6;0,19;0,26;3,6;0;0,08;4;2;0;0,09;2
MORTADELLA DI SUINO E BOVINO;100;388;1623;44,2;13,3;13;0;0,5;0;0,5;37;12,14;16,79;5,17;15,38;4,55;0,22;0;70;0;0;2,2;40;1054;236;180;1,6;0,1;0,15;3,1;0;0,08;4;0;0;0,09;2
MOZZARELLA;100;243;1017;60,1;19,9;19;0;4,9;0;4,9;16,1;10,01;4,55;0,47;3,91;0,33;0,14;0;50;0;0;0,2;403;137;38;239;4,3;0,05;0,51;0,4;2;0,07;15;163;104;0,2;0
MOZZARELLA DI BUFALA;100;240;1004;62,7;15,7;15;0;3,3;0;3,3;18,3;11,47;4,65;0,59;3,98;0,42;0,16;0;56;0;0;0,2;403;137;38;239;4,3;0,05;0,51;0,4;2;0,09;19;268;170;0,33;0
MUESLI;100;364;1523;7;10,6;0;10,6;71,1;23,7;47,4;5,9;1,04;2,14;2,38;2,13;2,26;0,13;0;0;8,1;0;5,6;120;380;440;280;2,5;0,5;0,7;6,5;2;1,6;140;2;2;3,2;0
NATTO;100;212;887;55;17,7;0;17,7;9;3;3;11;1,59;2,43;6,21;2,4;5,48;0,73;0;0;5,4;0;8,6;217;7;729;174;3;0,16;0,19;0;13;0,13;8;0;0;0,01;0
NESPOLE [ERIOBOTRYA JAPONICA];66;28;117;85,3;0,4;0;0,4;6,1;0;6,1;0,4;0,08;0,02;0,18;0,02;0,15;0,03;0;0;2,1;0;0,3;16;6;250;11;0,1;0,04;0,05;0,4;11;0,1;14;27;162;0,89;0
NOCCIOLE [CORYLUS AVELLANA];42;625;2615;5,7;13;0;13;1,8;0;1,8;62,9;4,08;37,9;5,1;37,74;4,99;0,11;0;0;6,7;0;3,3;150;11;466;322;1,6;0,51;0,1;2,8;4;0,59;72;30;180;24,98;0
NOCE DI COCCO [COCOS NUCIFERA];70;351;1469;45;3,2;0;3,2;3,7;0;3,7;36;30,93;2,38;0,61;2,24;0,61;0;0;0;12,2;0;2,1;13;17;370;94;0,5;0,04;0,01;0,5;3;0,05;26;0;0;0,73;0
NOCE MOSCATA [MYRISTICA FRAGRANS];100;395;1653;10;8,8;0;8,8;26,3;0;26,3;29;20,72;2,57;0,28;1,27;0,28;0;0;0;23,7;0;9,3;103;16;350;210;2,2;0,09;0,1;0,5;0;0,44;0;8;48;2,72;0
NOCI [JUGLANS REGIA], fresche;58;582;2435;19,2;10,5;0;10,5;5,5;2,1;3,4;57,7;4,72;8,08;34,45;7,94;28,82;5,63;0;0;5,2;0;2,6;131;3;690;238;3;0,58;0,17;0,8;0;0,67;66;6;36;3,85;0
